Country/Territory,"IMF
(2026)","World Bank
(2024)","United Nations
(2024)"
World,"123,584,494","111,326,370","100,834,796"
United States,"31,821,293","28,750,956","29,298,000"
China,"20,650,754","18,743,803","18,743,802"
Germany,"5,328,184","4,685,593","4,659,929"
Japan,"4,463,634","4,027,598","4,026,211"
India,"4,452,839","3,909,892","3,952,244"
United Kingdom,"4,255,639","3,686,033","3,685,881"
France,"3,558,562","3,160,443","3,160,443"
Italy,"2,701,544","2,380,825","2,380,825"
Russia,"2,545,421","2,173,836","2,173,386"
Canada,"2,420,837","2,243,637","2,270,076"
Brazil,"2,292,690","2,185,822","2,185,822"
Spain,"2,041,830","1,725,672","1,722,746"
Mexico,"2,031,018","1,856,366","1,852,723"
Australia,"1,948,227","1,757,022","1,830,610"
South Korea,"1,936,617","1,875,388","1,875,388"
Turkey,"1,576,110","1,359,124","1,323,255"
Indonesia,"1,550,236","1,396,300","1,396,300"
Netherlands,"1,413,076","1,214,928","1,214,928"
Saudi Arabia,"1,316,250","1,239,805","1,254,141"
Poland,"1,109,962","917,767","914,696"
Switzerland,"1,074,588","936,564","936,564"
Taiwan,"971,448",—N/a,—N/a
Belgium,"761,174","671,370","664,564"
Ireland,"750,112","609,157","577,389"
Sweden,"711,503","603,715","604,899"
Argentina,"685,545","638,365","638,365"
Israel,"666,407","540,380","542,286"
Singapore,"606,225","547,387","547,387"
United Arab Emirates,"601,163","552,325","552,325"
Austria,"604,198","534,791","534,791"
Thailand,"561,509","526,518","526,518"
Norway,"547,693","483,593","483,593"
Philippines,"533,922","461,618","461,618"
Vietnam,"511,059","476,388","476,388"
Malaysia,"505,364","422,227","421,972"
Denmark,"500,051","424,525","424,525"
Bangladesh,"495,381","450,119","432,742"
Colombia,"462,251","418,818","418,542"
Pakistan,"458,172","371,570","379,120"
Hong Kong,"446,646","406,863","406,863"
Romania,"444,807","382,564","382,770"
South Africa,"443,643","401,145","401,145"
Czech Republic,"417,134","347,034","345,037"
Egypt,"401,508","389,060","306,907"
Iran,"375,644","475,252","448,092"
Portugal,"364,527","313,271","313,271"
Chile,"363,299","330,267","330,267"
Finland,"335,534","298,697","298,697"
Nigeria,"334,341","252,262","252,084"
Peru,"326,608","289,222","289,329"
Kazakhstan,"319,770","291,480","291,480"
Greece,"304,838","256,238","257,145"
Algeria,"294,408","269,322","266,972"
New Zealand,"280,553","260,172","260,172"
Iraq,"273,912","279,641","279,641"
Cuba,—N/a,"107,352 (2020)","252,063"
Hungary,"269,916","222,723","222,905"
Qatar,"239,142","219,163","219,163"
Ukraine,"224,259","190,741","190,741"
Morocco,"196,121","160,611","160,606"
Slovakia,"167,730","140,934","141,776"
Kuwait,"162,895","160,227","160,227"
Uzbekistan,"159,199","114,965","114,965"
Kenya,"140,871","120,340","120,340"
Dominican Republic,"138,340","124,282","124,282"
Ecuador,"134,711","124,676","124,676"
Bulgaria,"142,203","113,343","113,343"
Guatemala,"129,466","113,200","113,200"
Puerto Rico,"129,192","126,030","125,842"
Ethiopia,"125,744","149,740","142,275"
Ghana,"113,494","82,308","82,938"
Croatia,"113,132","92,984","92,662"
Serbia,"112,108","90,098","89,074"
Ivory Coast,"111,446","87,113","85,894"
Angola,"109,855","100,999","117,159"
Costa Rica,"109,135","95,350","95,350"
Oman,"108,913","107,137","107,137"
Luxembourg,"107,758","93,280","93,280"
Lithuania,"104,651","84,869","84,869"
Sri Lanka,"98,964 (2024)","98,963","98,714"
Panama,"95,905","86,524","86,260"
Tanzania,"95,349","78,844","79,236"
Uruguay,"90,640","80,962","80,962"
Belarus,"90,556","75,962","75,962"
DR Congo,"88,126","70,962","75,322"
Slovenia,"85,738","72,972","72,485"
Azerbaijan,"80,024","74,316","74,316"
Venezuela,"79,916","119,803","150,494"
Turkmenistan,"76,897","51,387","68,655"
Uganda,"72,456","53,912","56,369"
Cameroon,"67,517","53,297","53,297"
Myanmar,"65,171","74,068","64,796"
Tunisia,"60,434","51,332","53,493"
Jordan,"59,288","53,352","53,352"
Bolivia,"57,086","54,881","46,627"
Zimbabwe,"55,434","41,539","45,719"
Macau,"54,935","49,467","49,467"
Cambodia,"51,506","46,353","45,913"
Libya,"49,164","48,487","48,484"
Latvia,"52,248","43,684","43,684"
Paraguay,"51,669","44,458","44,739"
Bahrain,"49,194","47,110","47,110"
Estonia,"51,036","43,130","42,765"
Nepal,"49,112","42,914","42,692"
Cyprus,"43,158","37,635","37,635"
Honduras,"40,821","37,094","37,094"
Iceland,"43,404","33,255","33,222"
Georgia,"40,177","34,189","34,192"
Senegal,"39,986","32,808","36,715"
El Salvador,"37,981","35,365","35,365"
Sudan,"39,474","49,672","25,574"
Bosnia and Herzegovina,"36,239","29,614","30,478"
Papua New Guinea,"33,463","31,800","32,262"
Haiti,"31,097","25,224","25,312"
Albania,"32,411","27,046","27,037"
Zambia,"33,945","25,303","25,303"
Lebanon,"28,280 (2024)","20,079 (2023)","37,990"
Armenia,"29,082","25,955","25,955"
Malta,"30,437","24,972","25,030"
Guinea,"30,922","25,009","36,465"
Burkina Faso,"30,705","23,125","23,250"
Trinidad and Tobago,"26,758","25,634","25,634"
Mali,"28,478","26,795","26,588"
Mongolia,"26,520","23,795","23,586"
Guyana,"27,486","24,663","24,659"
Mozambique,"26,512","22,745","22,745"
Benin,"27,453","21,483","21,483"
Jamaica,"24,132","22,014","22,014"
Niger,"26,110","19,876","17,491"
Chad,"23,556","19,519","19,797"
Gabon,"22,726","20,896","20,867"
Nicaragua,"21,860","19,694","19,694"
Kyrgyzstan,"21,563","17,478","17,478"
Moldova,"21,024","18,200","18,200"
Madagascar,"21,091","17,421","17,421"
Botswana,"20,708","19,402","19,401"
North Macedonia,"20,751","16,952","16,952"
Afghanistan,"18,080 (2024)","17,152 (2023)","18,283"
Yemen,"17,240","21,606 (2018)","14,304"
Syria,—N/a,"23,623 (2022)","17,254"
North Korea,—N/a,—N/a,"17,199"
Tajikistan,"18,941","14,205","13,949"
Laos,"17,781","16,503","16,129"
Bahamas,"16,841","15,833","15,833"
Mauritius,"16,756","14,938","14,953"
Congo,"16,952","15,720","16,412"
Brunei,"16,457","15,341","15,463"
Malawi,"17,855","11,316","11,734"
Rwanda,"15,472","14,252","15,111"
Namibia,"16,100","13,372","13,372"
Palestine,"13,711 (2024)","13,711","16,017"
Equatorial Guinea,"14,103","12,766","12,288"
Somalia,"13,912","11,967","11,966"
Kosovo,"14,097","11,197","11,154"
Channel Islands,—N/a,"12,508 (2023)",—N/a
Mauritania,"12,854","10,908","10,912"
Monaco,—N/a,"11,126","11,126"
Togo,"12,176","10,651","10,163"
Liechtenstein,"10,116","8,239 (2023)","8,628"
Montenegro,"10,229","8,270","8,274"
Bermuda,—N/a,"9,234","8,840"
Sierra Leone,"9,302","6,971","6,792"
New Caledonia,—N/a,"8,549","8,549"
Maldives,"8,221","7,062","7,062"
Cayman Islands,—N/a,"7,241 (2023)","7,657"
Barbados,"7,944","7,498","7,598"
Isle of Man,—N/a,"7,431 (2022)",—N/a
Burundi,"9,212","3,082","4,431"
Guam,—N/a,"6,910 (2022)",—N/a
Fiji,"6,696","5,968","5,968"
French Polynesia,—N/a,"6,324","6,323"
Eswatini,"5,495","4,859","4,947"
Liberia,"5,594","4,779","5,251"
South Sudan,"6,033","11,998 (2015)","3,522"
U.S. Virgin Islands,—N/a,"4,672 (2022)",—N/a
Djibouti,"5,003","4,152","4,152"
Suriname,"4,870","4,417","4,435"
Andorra,"4,715","4,040","4,040"
Aruba,"4,471","4,266","4,192"
Faroe Islands,—N/a,"4,053",—N/a
Curaçao,—N/a,"3,561","3,561"
Greenland,—N/a,"3,327 (2023)","3,466"
Bhutan,"3,771","3,013 (2023)","3,347"
Central African Republic,"3,708","2,751","2,752"
Belize,"3,442","3,204","3,204"
Cape Verde,"3,138","2,725","2,768"
Saint Lucia,"2,770","2,549","2,574"
Zanzibar,—N/a,—N/a,"2,530"
Gambia,"2,672","2,405","2,372"
Guinea-Bissau,"2,764","2,218","2,008"
Lesotho,"2,474","2,272","2,391"
Antigua and Barbuda,"2,456","2,208","2,162"
San Marino,"2,393","2,028 (2023)","2,082"
Seychelles,"2,249","2,167","2,162"
Timor-Leste,"2,208","1,866","1,866"
Eritrea,—N/a,"2,065 (2011)","1,917"
Solomon Islands,"2,051","1,584","1,584"
British Virgin Islands,—N/a,—N/a,"1,830"
Sint Maarten,—N/a,"1,798","1,670"
Turks and Caicos Islands,—N/a,"1,745","1,757"
Comoros,"1,770","1,441","1,567"
Grenada,"1,524","1,372","1,372"
Samoa,"1,333","1,176","1,253"
Saint Vincent and the Grenadines,"1,299","1,157","1,136"
Saint Kitts and Nevis,"1,190","1,122","1,122"
Vanuatu,"1,176","1,118","1,092"
Northern Mariana Islands,—N/a,"1,096 (2022)",—N/a
São Tomé and Príncipe,"1,125",822,828
